Name_ko,음료 설명,알러지 요인
나이트로 바닐라 크림,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,알레르기 유발요인 : 우유
나이트로 콜드 브루,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!,
돌체 콜드 브루,"무더운 여름철,",알레르기 유발요인 : 우유
리저브 나이트로,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!,
리저브 콜드 브루,리저브 커피 마스터의 정성으로 차갑게 추출한 깊고 부드러운 풍미의 커피,
민트 콜드 브루,상쾌한 민트향 시럽과 잘게 갈린 얼음이,
바닐라 크림 콜드 브루,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,알레르기 유발요인 : 우유
바닐라 크림 콜드 브루,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,
여수 윤슬 헤이즐넛 콜드브루,햇빛이나 달빛에 비치어 반짝이는 잔물결이라는,알레르기 유발요인 : 우유
오트 콜드 브루,콜드 브루의 풍미와 깔끔한 오트음료(식물성 대체유)가 어우러진 달콤 고소한 라떼.,
제주 비자림 콜드 브루,제주 천년의 숲 비자림을 연상시키는 음료로 제주 유기농 말차와 콜드 브루가 조화로운 제주 특화 콜드 브루 음료,알레르기 유발요인 : 우유
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루,스타벅스 바리스타의 정성으로 탄생한 콜드 브루!,
콜드 브루 플로트,[리저브 전용음료] 리저브 콜드 브루 위에 녹아 내리는 한 스쿱의 바닐라 아이스크림,알레르기 유발요인 : 우유
아이스 커피,"케냐, 하우스 블렌드 등 약간의 산미가 있는 커피를 드립 방식으로 추출한 후 얼음과 함께 제공하는 커피 입니다.",
오늘의 커피,"시즌에 어울리는 원두 종류를 선정하여 신선하게 브루드(Brewed)되어 제공되는 드립커피로, 원두 커피의 풍부한 맛과 향을 따뜻하게 즐기실 수 있습니다.",
아이스 에스프레소 쿠키 라떼,고소한 쿠키 풍미의 베이스에 진한 커피가 더해진 에스프레소 음료,알레르기 유발요인 : 땅콩 / 우유 / 달걀 / 밀
아이스 에스프레소 쿠키 라떼,고소한 쿠키 풍미의 베이스에 진한 커피가 더해진 에스프레소 음료,
에스프레소 콘 파나,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",알레르기 유발요인 : 우유
에스프레소 콘 파나,"신선한 에스프레소 샷에 풍부한 휘핑크림을 얹은 커피 음료로서, 뜨거운 커피의 맛과 차갑고 달콤한 생크림의 맛을 같이 즐길 수 있는 커피 음료",
아이스 카페 아메리카노,진한 에스프레소에 시원한 정수물과 얼음을 더하여 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피,
카페 아메리카노,진한 에스프레소와 뜨거운 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피,
아이스 카라멜 마키아또,향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,알레르기 유발요인 : 대두 / 우유
카라멜 마키아또,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,알레르기 유발요인 : 대두 / 우유
카라멜 마키아또,향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료,
카푸치노,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,알레르기 유발요인 : 우유
카푸치노,풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료,
바닐라 빈 라떼,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,알레르기 유발요인 : 우유
사케라또 비안코 오버 아이스,얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,알레르기 유발요인 : 우유
사케라또 비안코 오버 아이스,얼음과 같이 쉐이킹하여 차가워진 진한 리저브 에스프레소와 하우스 메이드 크림이 어우러진 달콤한 음료,
스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,알레르기 유발요인 : 우유
스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,
아이스 라벤더 카페 브레베,진한 리저브 에스프레소 샷과 은은한 라벤더향이 고급스럽게 어우러진 부드럽고 세련된 풍미의 라벤더 카페 브레베,알레르기 유발요인 : 우유
아이스 바닐라 빈 라떼,리저브만을 위한 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼,알레르기 유발요인 : 우유
아이스 스타벅스 1호점 바닐라 빈 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 바닐라 빈 라떼.,알레르기 유발요인 : 우유
아이스 스타벅스 1호점 카페 라떼,한국 스타벅스 1호점인 이대R점을 상징하는 리저브 카페 라떼.,알레르기 유발요인 : 우유
아이스 스타벅스 돌체 라떼,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,알레르기 유발요인 : 우유
아이스 카페 라떼,풍부하고 진한 농도의 에스프레소가 시원한 우유와 얼음을 만나 고소함과 시원함을 즐길 수 있는 대표적인 커피 라떼,알레르기 유발요인 : 우유
카페 라떼,풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼,알레르기 유발요인 : 우유
아이스 카페 모카,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,알레르기 유발요인 : 우유
아이스 화이트 초콜릿 모카,달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피,알레르기 유발요인 : 우유
카페 모카,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,알레르기 유발요인 : 우유
클래식 민트 모카,스타벅스의 클래식인 페퍼민트 모카를 떠올리게 하는 리저브만의 에스프레소 음료.,
